Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-09-11T19:55:00Z,"TSLA",2019-09-20T19:55:00Z,Buy,16.4653316868,16.0313317302,4191,-1818.89,41.91,-2425.19,1743.46,4168.65,0,"	222,223" 
2019-09-20T19:55:00Z,"MSFT",2019-09-26T19:55:00Z,Buy,131.627356114,131.89170599,530,140.11,5.3,-1606.21,615.46,2221.67,1,"	224,225" 
2019-09-26T19:55:00Z,"UUP",2019-09-27T19:55:00Z,Buy,22.8543432,22.82898705,3061,-77.62,30.61,-129.36,25.87,155.23,0,"	226,227" 
2019-09-27T19:55:00Z,"MSFT",2019-10-01T19:55:00Z,Buy,129.937405121,129.578644575,537,-192.65,5.37,-228.14,1302.95,1531.1,0,"	228,229" 
2019-10-01T19:55:00Z,"UUP",2019-10-04T19:55:00Z,Buy,22.8374391,22.77827475,3049,-180.39,30.49,-309.24,51.54,360.78,0,"	230,231" 
2019-10-04T19:55:00Z,"AAPL",2019-10-07T19:55:00Z,Buy,54.467448756,54.405041138,1274,-79.51,12.74,-269.1,917.39,1006.07,0,"	232,233" 
2019-10-07T19:55:00Z,"NVDA",2019-10-08T19:55:00Z,Buy,4.585954443525,4.41709900905,15105,-2550.56,151.05,-2899.9,206.6,3106.5,0,"	234,235" 
2019-10-08T19:55:00Z,"BIL",2019-10-09T19:55:00Z,Buy,76.988725212,76.988725212,101,0,2,0,0.85,0.85,0,"	237,238" 
2019-10-08T19:55:00Z,"TSLA",2019-10-10T19:55:00Z,Buy,16.0659983934,16.3139983686,3663,908.42,36.63,-229.55,1929.18,1702.07,1,"	236,240" 
2019-10-09T19:55:00Z,"BIL",2019-10-10T19:55:00Z,Buy,76.9971402,77.005555188,99,0.83,2,-0.83,1.67,0.83,1,"	239,241" 
2019-10-10T19:55:00Z,"AAPL",2019-10-14T19:55:00Z,Buy,55.269146618,56.706922125,1221,1755.52,12.21,-49.82,2297.71,682.87,1,"	242,243" 
2019-10-14T19:55:00Z,"TSLA",2019-10-15T19:55:00Z,Buy,17.1606649506,17.186664948,3811,99.09,38.11,-830.8,642.79,830.8,1,"	244,245" 
2019-10-15T19:55:00Z,"NVDA",2019-10-16T19:55:00Z,Buy,4.889347124025,4.8373724763,14164,-736.17,141.64,-996.82,866.5,1863.32,0,"	246,247" 
2019-10-16T19:55:00Z,"TSLA",2019-10-21T19:55:00Z,Buy,17.3126649354,16.8726649794,3605,-1586.2,36.05,-2213.47,1180.04,3393.51,0,"	248,249" 
2019-10-21T19:55:00Z,"NVDA",2019-10-23T19:55:00Z,Buy,4.86970120455,4.838118523875,13709,-432.97,137.09,-1575.05,2028.47,3603.51,0,"	250,251" 
2019-10-23T19:55:00Z,"AAPL",2019-10-24T19:55:00Z,Buy,58.315118435,58.430332499,1136,130.88,11.36,-286.31,354.48,640.78,1,"	252,253" 
2019-10-24T19:55:00Z,"TSLA",2019-10-25T19:55:00Z,Buy,19.9946646672,21.8839978116,1296,2448.58,23.07,-284.26,2590.27,327.46,1,"	254,255" 
2019-10-24T19:55:00Z,"TSLA",2019-10-30T19:55:00Z,Buy,19.9946646672,21.023331231,188,193.39,1,-41.23,503.97,377.38,1,"	254,262" 
2019-10-24T19:55:00Z,"TSLA",2019-10-31T19:55:00Z,Buy,19.9946646672,20.9446645722,1834,1742.3,9.17,-402.26,4916.34,3681.45,1,"	254,264" 
2019-10-25T19:55:00Z,"BIL",2019-10-28T19:55:00Z,Buy,77.056045116,77.047630128,367,-3.09,3.67,-3.09,0,3.09,0,"	256,257" 
